"ecoregion","stream","biomass","abu","vel","depth","froude","sub_dom","cpom","wcw","acw","temp","ph","cond_corr","elevation","strahler","Urb_1km","Agr_1km","Nat_1km","upslope_area","Urb","Agr","Nat","Prec_mean","Air_temp"
"Apennines","Lonza",0.0553,224,0.37,0.16,0.295,"cobbles",0.1275,5,33.5,11.05,8.74,404,449,2,0,36.7,63.3,20.81,1.3,29.1,58.7,2.865,5.96
"Apennines","Lubiana",0.3751,969,0.37,0.1,0.37,"cobbles",0.7438,6,16,18.98,8.15,314,450.55,4,0,72.4,27.6,16.86,3.3,16.8,79.9,3.71,10.53
"Apennines","Lubiana",0.0231,100,0,0.1,0,"gravel",0.0203,6,16,18.98,8.15,314,450.55,4,0,72.4,27.6,16.86,3.3,16.8,79.9,3.71,10.53
"Apennines","Lubiana",0.0979,596,0.21,0.13,0.19,"boulders",0.4334,6,16,18.98,8.15,314,450.55,4,0,72.4,27.6,16.86,3.3,16.8,79.9,3.71,10.53
"Apennines","Lubiana",0.1095,505,0.27,0.13,0.24,"cobbles",0.3426,6,16,18.98,8.15,314,450.55,4,0,72.4,27.6,16.86,3.3,16.8,79.9,3.71,10.53
"Apennines","Lubiana",0.0883,1191,0,0.1,0,"gravel",0.4226,6,16,18.98,8.15,314,450.55,4,0,72.4,27.6,16.86,3.3,16.8,79.9,3.71,10.53
"Apennines","Lubiana",0.1469,1761,0,0.19,0,"cobbles",1.4075,6,16,18.98,8.15,314,450.55,4,0,72.4,27.6,16.86,3.3,16.8,79.9,3.71,10.53
"Apennines","Porcellana",0.0307,85,0.24,0.13,0.213,"cobbles",0.0788,4,15,17.69,8.62,372,515,3,0,24.6,75.4,11.49,0,18.7,81.3,2.074,6.15
"Apennines","Porcellana",0.0463,67,0.18,0.12,0.166,"gravel",0.0876,4,15,17.69,8.62,372,515,3,0,24.6,75.4,11.49,0,18.7,81.3,2.074,6.15
"Apennines","Porcellana",0.0405,75,0,0.1,0,"cobbles",0.1792,4,15,17.69,8.62,372,515,3,0,24.6,75.4,11.49,0,18.7,81.3,2.074,6.15
"Apennines","Porcellana",0.1037,136,0.3,0.1,0.303,"cobbles",0.3605,4,15,17.69,8.62,372,515,3,0,24.6,75.4,11.49,0,18.7,81.3,2.074,6.15
"Apennines","Porcellana",0.0952,181,0.15,0.11,0.144,"gravel",0.8996,4,15,17.69,8.62,372,515,3,0,24.6,75.4,11.49,0,18.7,81.3,2.074,6.15
"Apennines","Porcellana",0.0605,45,0,0.05,0,"cobbles",0.4407,4,15,17.69,8.62,372,515,3,0,24.6,75.4,11.49,0,18.7,81.3,2.074,6.15
"Apennines","Taro",0.0807,240,0.46,0.21,0.32,"boulders",0.203,10,15,14.35,8.48,211,622,3,0,9.3,90.7,47.16,0,3,97,3.651,5.63
"Apennines","Taro",0.0732,301,0.88,0.15,0.725,"cobbles",0.5695,10,15,14.35,8.48,211,622,3,0,9.3,90.7,47.16,0,3,97,3.651,5.63
"Apennines","Taro",0.0621,215,0,0.28,0,"cobbles",1.0365,10,15,14.35,8.48,211,622,3,0,9.3,90.7,47.16,0,3,97,3.651,5.63
"Apennines","Taro",0.0384,123,0.18,0.18,0.135,"cobbles",0.2142,10,15,14.35,8.48,211,622,3,0,9.3,90.7,47.16,0,3,97,3.651,5.63
"Apennines","Taro",0.127,273,0.15,0.26,0.094,"gravel",0.8845,10,15,14.35,8.48,211,622,3,0,9.3,90.7,47.16,0,3,97,3.651,5.63
"Apennines","Taro",0.0221,131,0.06,0.12,0.055,"organic",0.0326,10,15,14.35,8.48,211,622,3,0,9.3,90.7,47.16,0,3,97,3.651,5.63
"Apennines","Tarodine",0.1031,378,0,0.07,0,"cobbles",3.4519,7,50,18.84,8.86,192,451,2,0,60.6,39.4,22.92,0,10.8,89.1,3.61,5.75
"Apennines","Tarodine",0.123,174,0.55,0.27,0.338,"cobbles",0.3872,7,50,18.84,8.86,192,451,2,0,60.6,39.4,22.92,0,10.8,89.1,3.61,5.75
"Apennines","Tarodine",0.0579,460,0.34,0.11,0.327,"gravel",0.2998,7,50,18.84,8.86,192,451,2,0,60.6,39.4,22.92,0,10.8,89.1,3.61,5.75
"Apennines","Tarodine",0.0598,732,0.3,0.28,0.181,"cobbles",3.2557,7,50,18.84,8.86,192,451,2,0,60.6,39.4,22.92,0,10.8,89.1,3.61,5.75
"Apennines","Tarodine",0.0309,401,0,0.12,0,"sand",0.2838,7,50,18.84,8.86,192,451,2,0,60.6,39.4,22.92,0,10.8,89.1,3.61,5.75
"Apennines","Tarodine",0.2142,1403,0,0.14,0,"cobbles",2.7189,7,50,18.84,8.86,192,451,2,0,60.6,39.4,22.92,0,10.8,89.1,3.61,5.75
